"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"078124","San Martino di Finita","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1024,"p","dato provvisorio"
"028077","San Martino di Lupari","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",6505,"p","dato provvisorio"
"028077","San Martino di Lupari","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",6608,"p","dato provvisorio"
"028077","San Martino di Lupari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",13113,"p","dato provvisorio"
"029044","San Martino di Venezze","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1877,"p","dato provvisorio"
"029044","San Martino di Venezze","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1994,"p","dato provvisorio"
"029044","San Martino di Venezze","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3871,"p","dato provvisorio"
"021082","San Martino in Badia/St. Martin in Thurn","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",886,"p","dato provvisorio"
"021082","San Martino in Badia/St. Martin in Thurn","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",881,"p","dato provvisorio"
"021082","San Martino in Badia/St. Martin in Thurn","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1767,"p","dato provvisorio"
"021083","San Martino in Passiria/St. Martin in Passeier","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1619,"p","dato provvisorio"
"021083","San Martino in Passiria/St. Martin in Passeier","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1636,"p","dato provvisorio"
"021083","San Martino in Passiria/St. Martin in Passeier","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3255,"p","dato provvisorio"
"070069","San Martino in Pensilis","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2297,"p","dato provvisorio"
"070069","San Martino in Pensilis","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2413,"p","dato provvisorio"
"070069","San Martino in Pensilis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",4710,"p","dato provvisorio"
"035037","San Martino in Rio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",4051,"p","dato provvisorio"
"035037","San Martino in Rio","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",4075,"p","dato provvisorio"
"035037","San Martino in Rio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",8126,"p","dato provvisorio"
"098048","San Martino in Strada","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1895,"p","dato provvisorio"
"098048","San Martino in Strada","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1860,"p","dato provvisorio"
"098048","San Martino in Strada","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3755,"p","dato provvisorio"
"062065","San Martino Sannita","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",630,"p","dato provvisorio"
"062065","San Martino Sannita","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",629,"p","dato provvisorio"
"062065","San Martino Sannita","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1259,"p","dato provvisorio"
"018137","San Martino Siccomario","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3135,"p","dato provvisorio"
"018137","San Martino Siccomario","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3304,"p","dato provvisorio"
"018137","San Martino Siccomario","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",6439,"p","dato provvisorio"
"069082","San Martino sulla Marrucina","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",462,"p","dato provvisorio"
"069082","San Martino sulla Marrucina","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",450,"p","dato provvisorio"
"069082","San Martino sulla Marrucina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",912,"p","dato provvisorio"
"064083","San Martino Valle Caudina","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2388,"p","dato provvisorio"
"064083","San Martino Valle Caudina","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2452,"p","dato provvisorio"
"064083","San Martino Valle Caudina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",4840,"p","dato provvisorio"
"073025","San Marzano di San Giuseppe","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",4545,"p","dato provvisorio"
"073025","San Marzano di San Giuseppe","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",4598,"p","dato provvisorio"
"073025","San Marzano di San Giuseppe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",9143,"p","dato provvisorio"
"005100","San Marzano Oliveto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",508,"p","dato provvisorio"
"005100","San Marzano Oliveto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",508,"p","dato provvisorio"
"005100","San Marzano Oliveto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1016,"p","dato provvisorio"
"065122","San Marzano sul Sarno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5224,"p","dato provvisorio"
"065122","San Marzano sul Sarno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5315,"p","dato provvisorio"
"065122","San Marzano sul Sarno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",10539,"p","dato provvisorio"
"070070","San Massimo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",446,"p","dato provvisorio"
"070070","San Massimo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",388,"p","dato provvisorio"
"070070","San Massimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",834,"p","dato provvisorio"
"001248","San Maurizio Canavese","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5071,"p","dato provvisorio"
"001248","San Maurizio Canavese","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5243,"p","dato provvisorio"
"001248","San Maurizio Canavese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",10314,"p","dato provvisorio"
"003133","San Maurizio d'Opaglio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1481,"p","dato provvisorio"
"003133","San Maurizio d'Opaglio","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1574,"p","dato provvisorio"
"003133","San Maurizio d'Opaglio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3055,"p","dato provvisorio"
